mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,param_selector__k,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
2.5914475123087564,0.03840945332979894,0.12508980433146158,0.0032636031934581535,20,sqrt,5,4,200,60,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 4, 'model__n_estimators': 200, 'selector__k': 60}",0.5804984663890745,0.5826409796979798,0.5782578299813578,0.5804657586894707,0.0017895628339142764,15
3.28066086769104,0.016924160564267602,0.14022064208984375,0.008297356682224925,20,sqrt,5,4,200,100,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 4, 'model__n_estimators': 200, 'selector__k': 100}",0.5837356208765835,0.5830371589500629,0.5812845882022286,0.5826857893429583,0.001031014304228742,7
3.7198888460795083,0.06122473282387259,0.16249998410542807,0.008893194137815953,20,sqrt,5,4,300,60,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 4, 'model__n_estimators': 300, 'selector__k': 60}",0.5799959558789983,0.5825098929445396,0.5785804910524577,0.5803621132919986,0.0016249314335678845,17
4.849084297815959,0.06135499866100127,0.15962298711140951,0.0029712824482291318,20,sqrt,5,4,300,100,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 4, 'model__n_estimators': 300, 'selector__k': 100}",0.5836565657394325,0.5827342748636073,0.5821905852618277,0.5828604752882892,0.0006051003225758105,5
2.6145505905151367,0.09467919481130768,0.12860576311747232,0.008568408298615398,20,sqrt,5,8,200,60,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 8, 'model__n_estimators': 200, 'selector__k': 60}",0.5804984663890745,0.5826409796979798,0.5782578299813578,0.5804657586894707,0.0017895628339142764,15
3.295820871988932,0.02077489634680823,0.1389622688293457,0.00912968262946083,20,sqrt,5,8,200,100,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 8, 'model__n_estimators': 200, 'selector__k': 100}",0.5837356208765835,0.5830371589500629,0.5812845882022286,0.5826857893429583,0.001031014304228742,7
3.793741782506307,0.08906234706153163,0.15282154083251953,0.0033341655436312932,20,sqrt,5,8,300,60,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 8, 'model__n_estimators': 300, 'selector__k': 60}",0.5799959558789983,0.5825098929445396,0.5785804910524577,0.5803621132919986,0.0016249314335678845,17
4.833900372187297,0.033920102969581215,0.15875903765360513,0.0032315719079944786,20,sqrt,5,8,300,100,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 8, 'model__n_estimators': 300, 'selector__k': 100}",0.5836565657394325,0.5827342748636073,0.5821905852618277,0.5828604752882892,0.0006051003225758105,5
5.707121928532918,0.23357349903661784,0.13944792747497559,0.004231921867578123,20,0.5,2,4,200,60,"{'model__max_depth': 20, 'model__max_features': 0.5, 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 200, 'selector__k': 60}",0.558076931643963,0.5651240841408651,0.5588942135021703,0.5606984097623328,0.003147160909723429,88
9.087573448816935,0.13353166682532303,0.16801905632019043,0.011776356272223327,20,0.5,2,4,200,100,"{'model__max_depth': 20, 'model__max_features': 0.5, 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 200, 'selector__k': 100}",0.5683798424177386,0.5659709518216283,0.5636452942757484,0.5659986961717051,0.0019329707428251022,83
9.573504527409872,1.9461717354577455,0.19607027371724448,0.013561565294058001,20,0.5,2,4,300,60,"{'model__max_depth': 20, 'model__max_features': 0.5, 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 300, 'selector__k': 60}",0.558750994122642,0.566254149716214,0.5582019573695369,0.5610690337361309,0.003673275662062359,87
